ranking,participant,first_name,last_name,time,distance_km,date_of_competiton,competition,place_of_comp,date_of_birth,age_at_comp,place_of_birth,country_of_birth,nationality,height_cm,weight_kg
1,Eliud Kipchoge ,Eliud,Kipchoge,2:08:44,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",5/11/1984,31.79,Nandi County,KEN,KEN,167.64,52.16
2,Feyisa Lilesa,Feyisa,Lilesa,2:09:54,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",1/2/1990,26.55,Oromia,ETH,ETH,175,67
3,Galen Rupp,Galen,Rupp,2:10:05,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",8/5/1986,30.28,Portland,USA,USA,180,61
4,Ghirmay Ghebreslassie,Ghirmay,Ghebreslassie,2:11:04,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",14/11/1995,24.93,Asmara,ERI,ERI,,
5,Alphonce Simbu,Alphonce,Simbu,2:11:15,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",14/2/1992,28.68,Singida,TAN,TAN,,55
6,Jared Ward,Jared,Ward,2:11:30,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",9/9/1988,32.11,Layton,USA,USA,175,61
7,Tadesse Abraham,Tadesse,Abraham,2:11:42,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",12/8/1982,38.19,Asmara,ERI,SUI,177,60
8,Solomon Mutai,Solomon,Mutai,2:11:49,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",22/10/1992,27.91,Bukwo,UGA,UGA,,
9,Callum Hawkins,Callum,Hawkins,2:11:52,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",22/6/1992,28.33,Elderslie,GBR,GBR,179,62
10,Eric Gillis,Eric,Gillis,2:12:29,42.195,8/21/16,Rio Olympics 2016,"Rio de Janeiro, Brazil",8/3/1990,30.62,Antigonish,CAN,CAN,170,58
1,Stephen Kiprotich,Stephen,Kiprotich,2:08:01,42.195,12/8/12,London Olympics 2012,"London, UK",27/2/1989,23.45,"Kapchorwa, Uganda",UGA,UGA,172.72,55.79
2,Abel Kirui,Abel,Kirui,2:08:27,42.195,12/8/12,London Olympics 2012,"London, UK",6/4/1982,30.35,"Bomet, Kenya",KEN,KEN,175.26,58.05
3,Wilson Kiprotich,Wilson,Kiprotich,2:09:37,42.195,12/8/12,London Olympics 2012,"London, UK",15/3/1982,30.41,"Keiyo District, Kenya",KEN,KEN,182.88,62.14
4,Mebrahtom Keflezighi,Mebrahtom,Keflezighi,2:11:06,42.195,12/8/12,London Olympics 2012,"London, UK",5/5/1975,32.27,"Asmara, Eritrea",ERI,USA,165.1,57.15
5,Marilson Dos Santos,Marilson,Dos Santos,2:11:10,42.195,12/8/12,London Olympics 2012,"London, UK",6/8/1977,35.01,"Brasilia, Brazil",BRA,BRA,172.72,57.15
6,Kentaro Nakamoto,Kentaro,Nakamoto,2:11:16,42.195,12/8/12,London Olympics 2012,"London, UK",7/12/1982,29.68,"Shimonoseki, Japan",JPN,JPN,172.72,57.15
7,Cuthbert Nyasango,Curthbert,Nyasango,2:12:08,42.195,12/8/12,London Olympics 2012,"London, UK",17/9/1982,29.9,"Nyanga, Zimbabwe",ZIM,ZIM,162.56,55.79
8,Paulo Paula,Paulo,Paula,2:12:17,42.195,12/8/12,London Olympics 2012,"London, UK",8/7/1979,33.09,"Sao Paulo, Brazil",BRA,BRA,170.18,54.88
9,Henryk Szost,Henryk,Szost,2:12:28,42.195,12/8/12,London Olympics 2012,"London, UK",20/01/1982,30.55,"Krynica, Poland",POL,POL,185.42,68.03
10,Ruggero Pertile,Ruggero,Pertile,2:12:45,42.195,12/8/12,London Olympics 2012,"London, UK",8/8/1974,38.01,"Camposampiero, Italy",ITA,ITA,170.18,55.79
1,Samuel Wanjiru,Samuel,Wanjiru,2:06:32,42.195,24/08/2008,Beijing Olympics 2008,"Beijing, China",11/10/1986,21.78,"Nyahururu, Kenya",KEN,KEN,162.56,52.16
2,Jaouad Gharib,Jaouad,Gharib,2:07:16,42.195,24/08/2008,Beijing Olympics 2008,"Beijing, China",22/5/1972,36.25,"Khenifra, Morroco",MAR,MAR,176.00,66.22
3,Tsegay Kebede,Tsegay,Kebede,2:10:00,42.195,24/08/2008,Beijing Olympics 2008,"Beijing, China",15/1/1987,21.60,"Gerar Ber, Ethiopia",ETH,ETH,157.48,49.89
4,Deriba Merga,Deriba,Merga,2:10:21,42.195,24/08/2008,Beijing Olympics 2008,"Beijing, China",26/10/1980,27.82,"Oromia, Ethiopia",ETH,ETH,,
